model,task,created,log_file,dimension,construct,accuracy,stderr
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,Knowledge Access / Ignorance,Knowledge access,0.8,0.19999999999999998
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,Sarcasm,Pragmatic understanding,1.0,0.0
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,Second-Order False Belief,Belief reasoning,0.4,0.24494897427831783
openrouter/meta-llama/llama-3.3-70b-instruct,tom_12dim_freeresponse,2026-07-14T19:24:41+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-24-41-00-00_tom-12dim-freeresponse_a5CVxYC35spEubFdvNmJnD.eval,White Lies / Prosocial Deception,Deception,0.6,0.24494897427831783
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,ALL (overall),ALL (overall),0.75,0.05637345210021216
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,Diverse Beliefs,Belief reasoning,0.6,0.24494897427831783
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,Emotion Recognition,Emotion recognition,0.8,0.19999999999999998
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,Faux Pas Detection,Pragmatic understanding,0.8,0.20000000000000004
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,First-Order False Belief,Belief reasoning,0.6,0.24494897427831783
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,Intention vs. Accident,Desire / intention inference,0.6,0.24494897427831783
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,Knowledge Access / Ignorance,Knowledge access,0.8,0.19999999999999998
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,Sarcasm,Pragmatic understanding,1.0,0.0
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,Second-Order False Belief,Belief reasoning,0.4,0.24494897427831783
openrouter/meta-llama/llama-4-maverick,tom_12dim_freeresponse,2026-07-14T19:34:34+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-34-34-00-00_tom-12dim-freeresponse_o8PkPLKHMFBHGzG4ME9U9u.eval,White Lies / Prosocial Deception,Deception,0.6,0.24494897427831783
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,ALL (overall),ALL (overall),0.7166666666666667,0.05866531842313124
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,Diverse Beliefs,Belief reasoning,0.6,0.24494897427831783
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,Emotion Recognition,Emotion recognition,0.8,0.19999999999999998
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,Faux Pas Detection,Pragmatic understanding,0.4,0.24494897427831783
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,First-Order False Belief,Belief reasoning,1.0,0.0
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,0.8,0.19999999999999998
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,Intention vs. Accident,Desire / intention inference,0.8,0.20000000000000004
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,Knowledge Access / Ignorance,Knowledge access,0.4,0.24494897427831783
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,Sarcasm,Pragmatic understanding,0.8,0.20000000000000004
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,Second-Order False Belief,Belief reasoning,0.4,0.24494897427831783
openrouter/meta-llama/llama-4-scout,tom_12dim_freeresponse,2026-07-14T19:32:14+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-32-14-00-00_tom-12dim-freeresponse_kRoXXVNEyzih3pAyamVKMR.eval,White Lies / Prosocial Deception,Deception,0.8,0.20000000000000004
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,ALL (overall),ALL (overall),0.7666666666666667,0.05506373639622878
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,Diverse Beliefs,Belief reasoning,0.8,0.19999999999999998
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,Emotion Recognition,Emotion recognition,0.8,0.19999999999999998
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,Faux Pas Detection,Pragmatic understanding,0.4,0.24494897427831783
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,First-Order False Belief,Belief reasoning,0.8,0.19999999999999998
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,Knowledge Access / Ignorance,Knowledge access,1.0,0.0
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,Sarcasm,Pragmatic understanding,0.8,0.19999999999999998
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,Second-Order False Belief,Belief reasoning,0.4,0.24494897427831783
openrouter/mistralai/mistral-small-24b-instruct-2501,tom_12dim_freeresponse,2026-07-14T19:29:39+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-29-39-00-00_tom-12dim-freeresponse_Vb9L43jUaUhpaMXT6aXuXG.eval,White Lies / Prosocial Deception,Deception,0.4,0.24494897427831783
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,ALL (overall),ALL (overall),0.8833333333333333,0.041793591990281174
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,Emotion Recognition,Emotion recognition,0.8,0.19999999999999998
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,Faux Pas Detection,Pragmatic understanding,0.6,0.24494897427831783
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,First-Order False Belief,Belief reasoning,1.0,0.0
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,Intention vs. Accident,Desire / intention inference,1.0,0.0
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,Knowledge Access / Ignorance,Knowledge access,0.8,0.19999999999999998
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,Sarcasm,Pragmatic understanding,1.0,0.0
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,Second-Order False Belief,Belief reasoning,0.8,0.20000000000000004
openrouter/mistralai/mistral-small-3.2-24b-instruct,tom_12dim_freeresponse,2026-07-14T19:40:40+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-40-40-00-00_tom-12dim-freeresponse_NqiWexxqL54i3MR4MtVSqL.eval,White Lies / Prosocial Deception,Deception,0.8,0.20000000000000004
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,ALL (overall),ALL (overall),0.8,0.05207556439232954
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,Diverse Beliefs,Belief reasoning,1.0,0.0
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,Emotion Recognition,Emotion recognition,0.8,0.19999999999999998
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,Faux Pas Detection,Pragmatic understanding,0.4,0.24494897427831783
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,First-Order False Belief,Belief reasoning,0.8,0.20000000000000004
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,Hidden Emotion (Appearance vs. Reality),Emotion recognition,1.0,0.0
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,Intention vs. Accident,Desire / intention inference,0.8,0.19999999999999998
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,Irony,Pragmatic understanding,1.0,0.0
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,Knowledge Access / Ignorance,Knowledge access,0.8,0.19999999999999998
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,Sarcasm,Pragmatic understanding,1.0,0.0
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,Second-Order False Belief,Belief reasoning,0.2,0.20000000000000004
openrouter/qwen/qwen-2.5-72b-instruct,tom_12dim_freeresponse,2026-07-14T19:22:05+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-22-05-00-00_tom-12dim-freeresponse_TYPRXi6vh5xNEsB8aLF4HZ.eval,White Lies / Prosocial Deception,Deception,1.0,0.0
openrouter/qwen/qwen-2.5-7b-instruct,tom_12dim_freeresponse,2026-07-14T19:21:38+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-21-38-00-00_tom-12dim-freeresponse_T9D6po5Q2hRSiuCutLv7PJ.eval,ALL (overall),ALL (overall),0.65,0.06209615288719448
openrouter/qwen/qwen-2.5-7b-instruct,tom_12dim_freeresponse,2026-07-14T19:21:38+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-21-38-00-00_tom-12dim-freeresponse_T9D6po5Q2hRSiuCutLv7PJ.eval,Diverse Beliefs,Belief reasoning,0.6,0.24494897427831783
openrouter/qwen/qwen-2.5-7b-instruct,tom_12dim_freeresponse,2026-07-14T19:21:38+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-21-38-00-00_tom-12dim-freeresponse_T9D6po5Q2hRSiuCutLv7PJ.eval,Diverse Desires,Desire / intention inference,0.8,0.20000000000000004
openrouter/qwen/qwen-2.5-7b-instruct,tom_12dim_freeresponse,2026-07-14T19:21:38+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-14T19-21-38-00-00_tom-12dim-freeresponse_T9D6po5Q2hRSiuCutLv7PJ.eval,Emotion Recognition,Emotion recognition,0.8,0.19999999999999998
